pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
22.5,60.0,180.0,bottom,ADC1,,,TSSOP-10_3x3mm_P0.5mm,ADS1115IDGSR,smt
-22.5,60.0,180.0,bottom,ADC2,,,TSSOP-10_3x3mm_P0.5mm,ADS1115IDGSR,smt
63.0,-0.0,0.0,bottom,AMUX1,,,SOIC-24W_7.5x15.4mm_P1.27mm,CD74HC4067M,smt
0.0,-92.0,90.0,bottom,AMUX2,,,SOIC-24W_7.5x15.4mm_P1.27mm,CD74HC4067M,smt
-63.0,-0.0,0.0,bottom,AMUX3,,,SOIC-24W_7.5x15.4mm_P1.27mm,CD74HC4067M,smt
0.0,-42.5,0.0,top,BUCK1,,,mini560,~,tht
-13.5,-24.0,-90.0,top,C1,,,CP_Elec_6.3x7.7,100uF,smt
14.025,-42.5,180.0,bottom,C2,,,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22uF,smt
14.025,-44.75,180.0,bottom,C3,,,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1uF,smt
1.5,-42.5,-90.0,bottom,C4,,,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10uF,smt
-50.0,14.8,90.0,top,C5,,,CP_Elec_6.3x7.7,470uF,smt
-26.0,-91.25,180.0,top,CTRL1,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04,tht
-55.0,-20.0,180.0,bottom,DMUX1,,,SOIC-28W_7.5x17.9mm_P1.27mm,MCP23S17_SO,smt
55.0,-20.0,0.0,bottom,DMUX2,,,SOIC-28W_7.5x17.9mm_P1.27mm,MCP23S17_SO,smt
-75.973,45.49666,-135.0,top,DRV1,,,DRV8224_breakout,~,smt
85.87246,35.59717,135.0,top,DRV2,,,DRV8224_breakout,~,smt
75.973,-45.497,45.0,top,DRV3,,,DRV8224_breakout,~,smt
-85.87246,-35.59717,-45.0,top,DRV4,,,DRV8224_breakout,~,smt
-7.0,-30.68742,0.0,top,DRV5,,,DRV8224_breakout,~,smt
18.0,-25.25,180.0,top,ESC1,,,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,Conn_01x03,tht
19.2,-40.6,-90.0,bottom,FH1,,,FUSE-SMD_L9.8-W5.0,01550900M,smt
-20.525,51.25,90.0,top,GATE_LED1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02,tht
-65.0,-10.0,90.0,top,JP1,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged12,tht
-65.0,-13.25,90.0,top,JP2,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged12,tht
-65.0,-16.5,90.0,top,JP3,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged12,tht
65.0,-10.0,-90.0,top,JP4,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged23,tht
65.0,-13.25,-90.0,top,JP5,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged12,tht
65.0,-16.5,-90.0,top,JP6,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged12,tht
21.23,63.5,90.0,top,JP7,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged12,tht
-21.23,63.5,-90.0,top,JP8,,,PinHeader_1x03_P1.27mm_Vertical,Jumper_3_Bridged23,tht
0.0,-10.295,0.0,top,KICK1,,,kicker,~,tht
7.0,-42.5,180.0,bottom,LDO1,,,SOT-223-3_TabPin2,TLV1117-33,smt
9.0,64.25,0.0,bottom,LED1,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
96.75,40.0,-90.0,bottom,LED10,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
101.75,25.0,-90.0,bottom,LED11,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
104.75,8.5,-90.0,bottom,LED12,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
104.749998,-8.5,90.0,bottom,LED13,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
101.749998,-25.0,90.0,bottom,LED14,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
96.749998,-40.0,90.0,bottom,LED15,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
89.249998,-53.5,90.0,bottom,LED16,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
73.249998,-54.0,90.0,bottom,LED17,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
65.749998,-61.5,90.0,bottom,LED18,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
58.249998,-69.0,90.0,bottom,LED19,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
25.0,70.25,0.0,bottom,LED2,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
50.749998,-76.5,90.0,bottom,LED20,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
53.5,-89.249998,0.0,bottom,LED21,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
40.0,-96.749998,0.0,bottom,LED22,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
25.0,-101.749998,0.0,bottom,LED23,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
9.0,-104.749998,0.0,bottom,LED24,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-9.0,-104.75,180.0,bottom,LED25,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-25.0,-101.75,180.0,bottom,LED26,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-40.0,-96.75,180.0,bottom,LED27,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-53.5,-89.25,180.0,bottom,LED28,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-50.75,-76.5,90.0,bottom,LED29,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
37.0,79.25,0.0,bottom,LED3,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-58.25,-69.0,90.0,bottom,LED30,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-65.75,-61.5,90.0,bottom,LED31,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-73.25,-54.0,90.0,bottom,LED32,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-89.25,-53.5,90.0,bottom,LED33,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-96.75,-40.0,90.0,bottom,LED34,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-101.75,-25.0,90.0,bottom,LED35,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-104.75,-8.5,90.0,bottom,LED36,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-104.749998,8.5,-90.0,bottom,LED37,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-101.749998,25.0,-90.0,bottom,LED38,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-96.749998,40.0,-90.0,bottom,LED39,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
51.0,90.75,0.0,bottom,LED4,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-89.249998,53.5,-90.0,bottom,LED40,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-73.249998,54.0,-90.0,bottom,LED41,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-65.749998,61.5,-90.0,bottom,LED42,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-58.249998,69.0,-90.0,bottom,LED43,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-50.749998,76.5,-90.0,bottom,LED44,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-51.0,90.749998,180.0,bottom,LED45,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-37.0,79.249998,180.0,bottom,LED46,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-25.0,70.249998,180.0,bottom,LED47,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
-9.0,64.249998,180.0,bottom,LED48,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
50.75,76.5,-90.0,bottom,LED5,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
58.25,69.0,-90.0,bottom,LED6,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
65.75,61.5,-90.0,bottom,LED7,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
73.25,54.0,-90.0,bottom,LED8,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
89.25,53.5,-90.0,bottom,LED9,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.8-3.4V 1400mcd@20mA,smt
29.5,57.5,90.0,top,LIGHTGATE1,,,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,Conn_01x03,tht
-29.5,64.0,-90.0,top,LOADCELL1,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04,tht
-9.5,-72.5,-90.0,top,MCU1,,,RPi_Pico_SMD_TH_USBC_cable_cutout,Pico,tht
-86.0,-0.0,-90.0,top,MOUSE1,,,PMW3360_breakout,~,tht
86.0,-0.0,-90.0,top,MOUSE2,,,PMW3360_breakout,~,tht
-90.0,-26.1875,0.0,bottom,MOUSE_FPC1,,,FPC-SMD_8P-P1.00_DEALON_FC10-S08FCT-00,FC10-S08FCT-00,smt
90.0,-26.1875,0.0,bottom,MOUSE_FPC2,,,FPC-SMD_8P-P1.00_DEALON_FC10-S08FCT-00,FC10-S08FCT-00,smt
9.0,66.0,0.0,bottom,PR1,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
98.5,40.0,-90.0,bottom,PR10,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
103.5,25.0,-90.0,bottom,PR11,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
106.5,8.5,-90.0,bottom,PR12,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
106.5,-8.5,90.0,bottom,PR13,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
103.5,-25.0,90.0,bottom,PR14,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
98.5,-40.0,90.0,bottom,PR15,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
91.0,-53.5,90.0,bottom,PR16,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
75.0,-54.0,90.0,bottom,PR17,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
67.5,-61.5,90.0,bottom,PR18,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
60.0,-69.0,90.0,bottom,PR19,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
25.0,72.0,0.0,bottom,PR2,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
52.5,-76.5,90.0,bottom,PR20,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
53.5,-91.0,0.0,bottom,PR21,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
40.0,-98.5,0.0,bottom,PR22,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
25.0,-103.5,0.0,bottom,PR23,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
9.0,-106.5,0.0,bottom,PR24,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-9.0,-106.5,180.0,bottom,PR25,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-25.0,-103.5,180.0,bottom,PR26,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-40.0,-98.5,180.0,bottom,PR27,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-53.5,-91.0,180.0,bottom,PR28,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-52.5,-76.5,90.0,bottom,PR29,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
37.0,81.0,0.0,bottom,PR3,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-60.0,-69.0,90.0,bottom,PR30,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-67.5,-61.5,90.0,bottom,PR31,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-75.0,-54.0,90.0,bottom,PR32,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-91.0,-53.5,90.0,bottom,PR33,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-98.5,-40.0,90.0,bottom,PR34,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-103.5,-25.0,90.0,bottom,PR35,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-106.5,-8.5,90.0,bottom,PR36,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
