pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
-106.5,8.5,-90.0,bottom,PR37,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-103.5,25.0,-90.0,bottom,PR38,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-98.5,40.0,-90.0,bottom,PR39,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
51.0,92.5,0.0,bottom,PR4,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-91.0,53.5,-90.0,bottom,PR40,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-75.0,54.0,-90.0,bottom,PR41,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-67.5,61.5,-90.0,bottom,PR42,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-60.0,69.0,-90.0,bottom,PR43,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-52.5,76.5,-90.0,bottom,PR44,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-51.0,92.5,180.0,bottom,PR45,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-37.0,81.0,180.0,bottom,PR46,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-25.0,72.0,180.0,bottom,PR47,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
-9.0,66.0,180.0,bottom,PR48,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
52.5,76.5,-90.0,bottom,PR5,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
60.0,69.0,-90.0,bottom,PR6,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
67.5,61.5,-90.0,bottom,PR7,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
75.0,54.0,-90.0,bottom,PR8,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
91.0,53.5,-90.0,bottom,PR9,,,SENSORS-SMD_ALS-PT19,ALS-PT19,smt
21.7,-15.5,180.0,top,PWR1,,,AMASS_XT60-M_1x02_P7.20mm_Vertical,XT60-M,tht
36.25,-14.0,180.0,top,PWR2,,,AMASS_XT30U-F_1x02_P5.0mm_Vertical,XT30-F,tht
-57.75,25.0,-90.0,top,PWR3,,,AMASS_XT30U-F_1x02_P5.0mm_Vertical,XT30-F,tht
-6.25,-51.25,0.0,bottom,R1,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.7K,smt
48.0,91.5,-90.0,bottom,R10,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
51.500001,73.5,180.0,bottom,R11,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
51.5,79.5,180.0,bottom,R12,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
59.000001,66.0,180.0,bottom,R13,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
59.0,72.0,180.0,bottom,R14,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
66.500001,58.5,180.0,bottom,R15,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
66.5,64.5,180.0,bottom,R16,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
74.000001,51.0,180.0,bottom,R17,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
74.0,57.0,180.0,bottom,R18,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
90.000001,50.5,180.0,bottom,R19,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-6.25,-47.75,0.0,bottom,R2,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.7K,smt
90.0,56.5,180.0,bottom,R20,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
97.500001,37.0,180.0,bottom,R21,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
97.5,43.0,180.0,bottom,R22,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
102.500001,22.0,180.0,bottom,R23,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
102.5,28.0,180.0,bottom,R24,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
105.500001,5.5,180.0,bottom,R25,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
105.5,11.5,180.0,bottom,R26,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
105.5,-5.5,180.0,bottom,R27,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
105.500001,-11.5,180.0,bottom,R28,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
102.5,-22.0,180.0,bottom,R29,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
12.0,65.0,-90.0,bottom,R3,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
102.500001,-28.0,180.0,bottom,R30,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
97.5,-37.0,180.0,bottom,R31,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
97.500001,-43.0,180.0,bottom,R32,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
90.0,-50.5,180.0,bottom,R33,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
90.000001,-56.5,180.0,bottom,R34,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
74.0,-51.0,180.0,bottom,R35,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
74.000001,-57.0,180.0,bottom,R36,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
66.5,-58.5,180.0,bottom,R37,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
66.500001,-64.5,180.0,bottom,R38,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
59.0,-66.0,180.0,bottom,R39,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
6.0,65.0,-90.0,bottom,R4,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
59.000001,-72.0,180.0,bottom,R40,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
51.5,-73.5,180.0,bottom,R41,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
51.500001,-79.5,180.0,bottom,R42,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
56.5,-90.0,90.0,bottom,R43,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
50.5,-90.000001,90.0,bottom,R44,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
43.0,-97.5,90.0,bottom,R45,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
37.0,-97.500001,90.0,bottom,R46,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
28.0,-102.5,90.0,bottom,R47,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
22.0,-102.500001,90.0,bottom,R48,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
12.0,-105.5,90.0,bottom,R49,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
28.0,71.0,-90.0,bottom,R5,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
6.0,-105.500001,90.0,bottom,R50,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-12.0,-105.5,90.0,bottom,R51,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-6.0,-105.500001,90.0,bottom,R52,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-28.0,-102.5,90.0,bottom,R53,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-22.0,-102.500001,90.0,bottom,R54,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-43.0,-97.5,90.0,bottom,R55,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-37.0,-97.500001,90.0,bottom,R56,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-56.5,-90.0,90.0,bottom,R57,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-50.5,-90.000001,90.0,bottom,R58,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-51.5,-73.5,0.0,bottom,R59,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
22.0,71.0,-90.0,bottom,R6,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-51.500001,-79.5,0.0,bottom,R60,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-59.0,-66.0,0.0,bottom,R61,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-59.000001,-72.0,0.0,bottom,R62,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-66.5,-58.5,0.0,bottom,R63,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-66.500001,-64.5,0.0,bottom,R64,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-74.0,-51.0,0.0,bottom,R65,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-74.000001,-57.0,0.0,bottom,R66,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-90.0,-50.5,0.0,bottom,R67,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-90.000001,-56.5,0.0,bottom,R68,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-97.5,-37.0,0.0,bottom,R69,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
40.0,80.0,-90.0,bottom,R7,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-97.500001,-43.0,0.0,bottom,R70,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-102.5,-22.0,0.0,bottom,R71,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-102.500001,-28.0,0.0,bottom,R72,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-105.5,-5.5,0.0,bottom,R73,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-105.500001,-11.5,0.0,bottom,R74,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-105.5,5.5,0.0,bottom,R75,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-105.500001,11.5,0.0,bottom,R76,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-102.5,22.0,0.0,bottom,R77,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-102.500001,28.0,0.0,bottom,R78,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-97.5,37.0,0.0,bottom,R79,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
34.0,80.0,-90.0,bottom,R8,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-97.500001,43.0,0.0,bottom,R80,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-90.0,50.5,0.0,bottom,R81,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-90.000001,56.5,0.0,bottom,R82,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-74.0,51.0,0.0,bottom,R83,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-74.000001,57.0,0.0,bottom,R84,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-66.5,58.5,0.0,bottom,R85,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-66.500001,64.5,0.0,bottom,R86,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-59.0,66.0,0.0,bottom,R87,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-59.000001,72.0,0.0,bottom,R88,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-51.5,73.5,0.0,bottom,R89,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
54.0,91.5,-90.0,bottom,R9,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-51.500001,79.5,0.0,bottom,R90,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-54.0,91.5,-90.0,bottom,R91,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-48.0,91.5,-90.0,bottom,R92,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-40.0,80.0,-90.0,bottom,R93,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-34.0,80.0,-90.0,bottom,R94,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-28.0,71.0,-90.0,bottom,R95,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-22.0,71.0,-90.0,bottom,R96,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-12.0,65.0,-90.0,bottom,R97,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.7k,smt
-6.0,65.0,-90.0,bottom,R98,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220R,smt
-16.5,-14.75,180.0,top,SW1,,,SW-TH_MT-0-103-A101-M200-RS,MT-0-102-A101-M200-RS+PJ,tht
-12.25,-91.25,90.0,top,SW2,,,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,TS4535TP 250GF 009,smt
12.5,-91.25,-90.0,top,SW3,,,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,TS4535TP 250GF 009,smt
